WadeEdg@myschool.com,Edgar,Wade,1,2,16,15,9, HillTre@myschool.com,Trevor,Hill,1,16,15,7,17,
FisheLor@myschool.com,Lorene,Fisher,1,18,15,16,6,
DelgaNic@myschool.com,Nick,Delgado,1,12,3,2,9,
CunniEdu@myschool.com,Eduardo,Cunningham,1,16,7,8,6,
WebstOpa@myschool.com,Opal,Webster,1,3,2,16,18,
FloweLin@myschool.com,Lindsay,Flowers,1,3,2,9,11,
LongRog@myschool.com,Rogelio,Long,1,3,2,10,11,
MoranTer@myschool.com,Terrence,Moran,1,15,10,18,2,
WilkiTob@myschool.com,Toby,Wilkins,1,9,16,7,2,
ByrdMel@myschool.com,Melissa,Byrd,1,16,17,15,13,
CoopeCla@myschool.com,Clara,Cooper,2,9,1,12,15,
OwenShe@myschool.com,Sheldon,Owen,2,5,16,3,15,
BlairWil@myschool.com,Willard,Blair,2,15,3,1,18,
ChapmGen@myschool.com,Genevieve,Chapman,2,3,9,7,16,
HubbaGlo@myschool.com,Gloria,Hubbard,2,7,3,15,1,
ReedHei@myschool.com,Heidi,Reed,2,12,6,16,15,
SantiCou@myschool.com,Courtney,Santiago,2,15,1,16,7,
MaxweErm@myschool.com,Erma,Maxwell,3,2,7,10,4,
ArnolSha@myschool.com,Shawna,Arnold,3,10,7,2,1,
BurnsDex@myschool.com,Dexter,Burns,3,1,10,6,16,
SimpsKri@myschool.com,Kristopher,Simpson,5,2,11,3,15,
RichaElv@myschool.com,Elvira,Richards,6,9,1,15,2,
NguyeLau@myschool.com,Laurence,Nguyen,6,8,16,9,2,
ScottDia@myschool.com,Dianna,Scott,6,15,16,2,1,
NelsoRam@myschool.com,Ramiro,Nelson,7,9,16,6,1,
LyonsEnr@myschool.com,Enrique,Lyons,7,1,6,15,16,
LaneChe@myschool.com,Chelsea,Lane,7,9,5,18,17,
JohnsDol@myschool.com,Dolores,Johnston,7,1,16,6,15,
BowerLow@myschool.com,Lowell,Bowers,7,1,2,6,18,
FoxIra@myschool.com,Ira,Fox,7,15,12,5,1,
SparkCon@myschool.com,Constance,Sparks,7,2,13,17,14,
ColliGin@myschool.com,Ginger,Collins,7,2,16,15,18,
PowelSte@myschool.com,Steve,Powell,8,14,2,16,6,
MalonOwe@myschool.com,Owen,Malone,8,1,14,12,9,
MedinLee@myschool.com,Lee,Medina,8,2,16,7,15,
RoberAbr@myschool.com,Abraham,Roberts,8,2,13,14,18,
RamseIsr@myschool.com,Israel,Ramsey,8,2,16,15,9,
McguiAnn@myschool.com,Annie,Mcguire,8,7,1,15,14,
ObrieWil@myschool.com,Willis,Obrien,8,10,1,15,16,
ParkLau@myschool.com,Laura,Park,8,14,17,18,2,
PortePeg@myschool.com,Peggy,Porter,9,13,7,1,2,
SheltVan@myschool.com,Vanessa,Shelton,9,18,2,13,6,
GrantIgn@myschool.com,Ignacio,Grant,9,1,10,2,6,
GraveHen@myschool.com,Henry,Graves,9,16,14,8,18,
BarneKat@myschool.com,Katie,Barnett,9,15,13,1,16,
HartCec@myschool.com,Cecelia,Hart,11,3,2,7,16,
TranDel@myschool.com,Delores,Tran,11,7,1,15,16,
GibbsMon@myschool.com,Monique,Gibbs,13,14,4,11,16,
HanseHat@myschool.com,Hattie,Hansen,13,7,16,1,2,
SilvaVer@myschool.com,Vera,Silva,15,1,9,7,17,
ReynoKer@myschool.com,Kerry,Reynolds,15,1,9,11,6,
RobbiBra@myschool.com,Brandon,Robbins,15,5,13,16,6,
LawsoMon@myschool.com,Monica,Lawson,15,1,2,6,7,
MarshDom@myschool.com,Dominick,Marsh,15,14,11,1,16,
MaldoRic@myschool.com,Ricardo,Maldonado,15,1,7,9,2,
TorreVan@myschool.com,Van,Torres,15,1,7,9,2,
PenaShe@myschool.com,Shelley,Pena,15,1,7,9,2,
BatesBar@myschool.com,Barbara,Bates,15,18,6,10,2,
BridgJoh@myschool.com,Johnnie,Bridges,15,1,9,7,14,
SotoEle@myschool.com,Eleanor,Soto,15,1,7,9,2,
LeeAma@myschool.com,Amanda,Lee,15,1,7,9,16,
WatkiJoa@myschool.com,Joanna,Watkins,15,10,1,18,16,
SummeRic@myschool.com,Ricky,Summers,15,10,1,9,2,
TurneHub@myschool.com,Hubert,Turner,15,1,8,6,14,
BrookSam@myschool.com,Samuel,Brooks,15,1,7,9,2,
ColemHea@myschool.com,Heather,Coleman,15,6,1,17,16,
WilsoAlf@myschool.com,Alfredo,Wilson,16,11,2,1,3,
WilkeSil@myschool.com,Silvia,Wilkerson,18,16,1,8,7,
